0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/jscript/left2.gif HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/jscript/close.gif HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/jscript/right2.gif HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/jscript/left1.gif HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:01 +0530] "GET /Epra/jscript/right1.gif HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:09 +0530] "POST /Epra/search_by_patient_id.jsp HTTP/1.1" 200 4851
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:17 +0530] "POST /Epra/search_by_patient_id.jsp HTTP/1.1" 200 4851
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:26 +0530] "POST /Epra/search_by_patient_id.jsp HTTP/1.1" 200 4835
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:11:36 +0530] "POST /Epra/search_by_patient_id.jsp HTTP/1.1" 200 16152
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:23:05 +0530] "POST /Epra/search_by_patient_id.jsp HTTP/1.1" 200 16152
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:23:05 +0530] "GET /Epra/images/m.png HTTP/1.1" 200 59906
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:23:05 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Jun/2017:06:23:17 +0530] "GET /Epra/edit.jsp?pid=3&sample1=&sample11=&sample2=&sample21=&sample3=&sample31=&sample4=&sample41=&sample5=&sample51= HTTP/1.1" 200 134676
